rama_ciencias,codigo_carrera,carrera,entidad,Matricula_Total,Matricula_Mujeres,Matricula_Hombres,Diferencia_Genero,Curso_Academico,Ano_Inicio_Curso
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Sociales y Humanísticas,63500.0,COMUNICACIÓN SOCIAL,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Económicas,51900.0,CONTABILIDAD Y FINANZAS,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias de la Cultura Física y el Deporte,90300.0,CULTURA FÍSICA,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Sociales y Humanísticas,63400.0,DERECHO,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Técnicas,11500.0,DISEÑO DE COMUNICACIÓN VISUAL,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Técnicas,11401.0,DISEÑO INDUSTRIAL,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Económicas,51800.0,ECONOMÍA,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
